State,Assembly,Candidate,Party,Votes
Andaman & Nicobar Islands,Andaman & Nicobar Islands,BISHNU PADA RAY,Bharatiya Janata Party,"  90,969 "
Andaman & Nicobar Islands,Andaman & Nicobar Islands,KULDEEP RAI SHARMA,Indian National Congress,"  83,157 "
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SANJAY MESHACK,Aam Aadmi Party,"  3,737 "
Andaman & Nicobar Islands,Andaman & Nicobar Islands,ANITA MONDAL,All India Trinamool Congress,"  2,283 "
Andaman & Nicobar Islands,Andaman & Nicobar Islands,K.G.DAS,Communist Party of India (Marxist),"  1,777 "
Andaman & Nicobar Islands,Andaman & Nicobar Islands,PRAKASH MINJ,Independent,"  1,587 "
Andaman & Nicobar Islands,Andaman & Nicobar Islands,R.S.UMA BHARATTHY,Nationalist Congress Party,"  1,151 "
Andaman & Nicobar Islands,Andaman & Nicobar Islands,GOUR CHANDRA MAJUMDER,Bahujan Samaj Party,"  1,139 "
Andaman & Nicobar Islands,Andaman & Nicobar Islands,SARAVANAN,Independent,  847 
Andaman & Nicobar Islands,Andaman & Nicobar Islands,N K P NAIR,Communist Party of India (Marxist-Leninist) (Liberation),  436 
Andaman & Nicobar Islands,Andaman & Nicobar Islands,V V KHALID,Independent,  429 
Andaman & Nicobar Islands,Andaman & Nicobar Islands,RAGHUBIR SINGH,Samajwadi Party,  379 
Andaman & Nicobar Islands,Andaman & Nicobar Islands,C G SAJI KUMAR,Independent,  334 
Andaman & Nicobar Islands,Andaman & Nicobar Islands,N KANNAN,Independent,  314 
Andaman & Nicobar Islands,Andaman & Nicobar Islands,A PANDIAN,All India Forward Bloc,  225 
Andaman & Nicobar Islands,Andaman & Nicobar Islands,None of the Above,None of the Above,"  1,564 "
Andhra Pradesh,Adilabad,GODAM NAGESH,Telangana Rashtra Samithi,"  430,847 "
Andhra Pradesh,Adilabad,NARESH,Indian National Congress,"  259,557 "
Andhra Pradesh,Adilabad,RAMESH RATHOD,Telugu Desam,"  184,198 "
Andhra Pradesh,Adilabad,RATHOD SADASHIV,Bahujan Samaj Party,"  94,420 "
Andhra Pradesh,Adilabad,NETHAWATH RAMDAS,Independent,"  41,032 "
Andhra Pradesh,Adilabad,MOSALI CHINNAIAH,Independent,"  8,859 "
Andhra Pradesh,Adilabad,PAWAR KRISHNA,Independent,"  5,055 "
Andhra Pradesh,Adilabad,BANKA SAHADEV,Independent,"  4,787 "
Andhra Pradesh,Adilabad,None of the Above,None of the Above,"  17,084 "
Andhra Pradesh,Amalapuram,DR PANDULA RAVINDRA BABU,Telugu Desam,"  594,547 "
Andhra Pradesh,Amalapuram,PINIPE VISWARUPU,Yuvajana Sramika Rythu Congress Party,"  473,971 "
Andhra Pradesh,Amalapuram,AITHABATHULA JOGESWARA VENKATA BUTCHI MAHESWARA RAO,Indian National Congress,"  12,182 "
Andhra Pradesh,Amalapuram,G.V.HARSHA KUMAR,Jai Samaikyandhra Party,"  9,931 "
Andhra Pradesh,Amalapuram,GEDDAM SAMPADA RAO,Bahujan Samaj Party,"  7,219 "
Andhra Pradesh,Amalapuram,KUNCHE PEDASATYANARAYANA,Pyramid Party of India,"  4,560 "
Andhra Pradesh,Amalapuram,KONKI VENKATA RAO,Republican Paksha (Khoripa),"  3,233 "
Andhra Pradesh,Amalapuram,VIJAYA CHAKRAVARTHY PANTHAGADA,Republican Party of India (Khobragade),"  2,867 "
Andhra Pradesh,Amalapuram,VADDI WINSTON CHURCHILL,Independent,"  1,684 "
Andhra Pradesh,Amalapuram,YALANGI RAMESH,Independent,"  1,171 "
Andhra Pradesh,Amalapuram,KASI CHANDRAMOULI,Independent,"  1,110 "
Andhra Pradesh,Amalapuram,UNDRU GANI RAJU,Independent,  862 
Andhra Pradesh,Amalapuram,BHASKARA RAO BUNGA,Independent,  824 
Andhra Pradesh,Amalapuram,KOMMU SATYAVATHI,Independent,  625 
Andhra Pradesh,Amalapuram,None of the Above,None of the Above,"  6,141 "
Andhra Pradesh,Anakapalli,MUTTAMSETTI SRINIVASA RAO (AVANTHI),Telugu Desam,"  568,463 "
Andhra Pradesh,Anakapalli,GUDIVADA AMARNADH,Yuvajana Sramika Rythu Congress Party,"  520,531 "
Andhra Pradesh,Anakapalli,VIJAYA LAKSHMI THOTA,Indian National Congress,"  17,770 "
Andhra Pradesh,Anakapalli,KARANAM TIRUPATHI RAO,Bahujan Samaj Party,"  14,834 "
Andhra Pradesh,Anakapalli,KONDARAJU JAMPANA,Jai Samaikyandhra Party,"  6,261 "
Andhra Pradesh,Anakapalli,VADLAMURI KRISHNA SWAROOP,Dalita Bahujana Party,"  5,506 "
Andhra Pradesh,Anakapalli,APPALARAJU SADARAM,Independent,"  3,228 "
Andhra Pradesh,Anakapalli,SARISA LEELA PRASANNA KUMARI,Pyramid Party of India,"  2,875 "
Andhra Pradesh,Anakapalli,None of the Above,None of the Above,"  8,604 "
Andhra Pradesh,Anantapur,J.C. DIVAKAR REDDI,Telugu Desam,"  606,509 "
Andhra Pradesh,Anantapur,ANANTHA VENKATARAMIREDDY,Yuvajana Sramika Rythu Congress Party,"  545,240 "
Andhra Pradesh,Anantapur,ANIL CHOWDARY. P,Indian National Congress,"  16,659 "
Andhra Pradesh,Anantapur,T.KULDEEP CHOWDARY,Samaikya Telugu Rajyam,"  6,517 "
Andhra Pradesh,Anantapur,KASANI NAGARAJU,Bahujan Samaj Party,"  6,201 "
Andhra Pradesh,Anantapur,SHAIK. MOHAMMAD SHAFI.,Independent,"  3,018 "
Andhra Pradesh,Anantapur,BOYA ANIL KUMAR,Jai Samaikyandhra Party,"  2,779 "
Andhra Pradesh,Anantapur,D. SOMANATH,Independent,"  2,263 "
Andhra Pradesh,Anantapur,PAVAN KUMAR,Pyramid Party of India,"  2,070 "
Andhra Pradesh,Anantapur,B. SRINIVASULU,Independent,"  1,589 "
Andhra Pradesh,Anantapur,BUZIREDDY VENUGOPAL REDDY,Indian Christian Secular Party,"  1,381 "
Andhra Pradesh,Anantapur,G. NAGARAJU,Independent,"  1,086 "
Andhra Pradesh,Anantapur,G. LALITHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),  944 
Andhra Pradesh,Anantapur,None of the Above,None of the Above,"  8,798 "
Andhra Pradesh,Aruku,KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party,"  413,191 "
Andhra Pradesh,Aruku,GUMMIDI SANDHYARANI,Telugu Desam,"  321,793 "
Andhra Pradesh,Aruku,KISHORE CHANDRA DEO,Indian National Congress,"  52,884 "
Andhra Pradesh,Aruku,MIDIYAM BABURAO,Communist Party of India (Marxist),"  38,898 "
Andhra Pradesh,Aruku,KANGALA BALUDORA,Independent,"  23,215 "
Andhra Pradesh,Aruku,CHETTI SANKARARAO,Independent,"  8,951 "
Andhra Pradesh,Aruku,BURJABARIKI DHANARAJU,Aam Aadmi Party,"  8,569 "
Andhra Pradesh,Aruku,SALLANGI RATNAM,Independent,"  7,688 "
Andhra Pradesh,Aruku,BIDDIKA RAMAIAH,Independent,"  7,587 "
Andhra Pradesh,Aruku,IILLA RAMI REDDY,Independent,"  5,692 "
Andhra Pradesh,Aruku,VANUGU SANKARARAO,Independent,"  4,614 "
Andhra Pradesh,Aruku,None of the Above,None of the Above,"  16,532 "
Andhra Pradesh,Bapatla,MALYADRI SRIRAM,Telugu Desam,"  578,145 "
Andhra Pradesh,Bapatla,VARIKUTI AMRUTHAPANI,Yuvajana Sramika Rythu Congress Party,"  545,391 "
Andhra Pradesh,Bapatla,PANABAKA LAKSHMI,Indian National Congress,"  23,072 "
Andhra Pradesh,Bapatla,YALLAMATI RAMESH,Pyramid Party of India,"  8,414 "
Andhra Pradesh,Bapatla,DWARAPALLI PHILIP,Bahujan Samaj Party,"  8,113 "
Andhra Pradesh,Bapatla,EDA CHENNAIAH,Aam Aadmi Party,"  3,948 "
Andhra Pradesh,Bapatla,R.D.WILSON,Jai Samaikyandhra Party,"  3,657 "
Andhra Pradesh,Bapatla,PERLI PRASANNA DEEVENA KUMAR (PRASANNA),Indian Labour Party (Ambedkar Phule),"  2,967 "
Andhra Pradesh,Bapatla,RATNABABU MAMIDI,Independent,"  1,206 "
Andhra Pradesh,Bapatla,BABURAO GOLLA,Independent,  823 
Andhra Pradesh,Bapatla,GADDE THYAGARAJU,Independent,  749 
Andhra Pradesh,Bapatla,GOGULAMUDI NARASIMHA RAO,Independent,  720 
Andhra Pradesh,Bapatla,BANDELA NAGESWARA RAO,Independent,  668 
Andhra Pradesh,Bapatla,NAKKALA VEERANJANEYULU,Independent,  615 
Andhra Pradesh,Bapatla,None of the Above,None of the Above,"  6,146 "
Andhra Pradesh,Bhongir,DR. BOORA NARSAIAH GOUD,Telangana Rashtra Samithi,"  448,245 "
Andhra Pradesh,Bhongir,KOMATIREDDY RAJGOPAL REDDY,Indian National Congress,"  417,751 "
Andhra Pradesh,Bhongir,INDRASENA REDDY NALLU,Bharatiya Janata Party,"  183,217 "
Andhra Pradesh,Bhongir,CHERUPALLY SEETHARAMULU,Communist Party of India (Marxist),"  54,040 "
Andhra Pradesh,Bhongir,VARIKUPPALA KRISHNA VADDERA,Independent,"  35,011 "
Andhra Pradesh,Bhongir,NAVULLA MALLA REDDY,Independent,"  26,805 "
Andhra Pradesh,Bhongir,ARVAPALLY AMBATI,Bahujan Samaj Party,"  9,029 "
Andhra Pradesh,Bhongir,RAVULAPALLY KONDAL RAO,Independent,"  7,722 "
Andhra Pradesh,Bhongir,BOILLA NARENDER,Republican Party of India,"  6,850 "
Andhra Pradesh,Bhongir,KAPILAVAI DILEEP KUMAR,Rashtriya Lok Dal,"  5,552 "
Andhra Pradesh,Bhongir,GUAHATI MOTHILAL,All India Majlis-E-Ittehadul Muslimeen,"  2,600 "
Andhra Pradesh,Bhongir,GUDURU JANARDHAN REDDY,Jai Samaikyandhra Party,"  2,341 "
Andhra Pradesh,Bhongir,NAGULA SRINIVAS YADAV,Mahajana Socialist Party,"  1,859 "
Andhra Pradesh,Bhongir,None of the Above,None of the Above,"  10,921 "
Andhra Pradesh,CHELVELLA,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi,"  435,077 "
Andhra Pradesh,CHELVELLA,PATLOLLA KARTIK REDDY,Indian National Congress,"  362,054 "
Andhra Pradesh,CHELVELLA,TULLA VEERENDER,Telugu Desam,"  353,203 "
Andhra Pradesh,CHELVELLA,CHAN PASHA,Akhil Bharatiya Muslim League (Secular),"  56,835 "
Andhra Pradesh,CHELVELLA,KONDA RAGHAVA REDDY,Yuvajana Sramika Rythu Congress Party,"  40,135 "
Andhra Pradesh,CHELVELLA,G.MALLESHAM GOUD,Independent,"  24,660 "
Andhra Pradesh,CHELVELLA,SAMALA RAVINDAR,Bahujan Samaj Party,"  7,732 "
Andhra Pradesh,CHELVELLA,REGATTE VENKAT REDDY,Aam Aadmi Party,"  7,462 "
Andhra Pradesh,CHELVELLA,KUMMARI GIRI,Pyramid Party of India,"  5,789 "
Andhra Pradesh,CHELVELLA,MD YUNUS MIYA,Marxist Communist Party of India (United),"  2,904 "
Andhra Pradesh,CHELVELLA,DR. P. SADHU SATYANADHAN,Indian Christian Secular Party,"  2,545 "
Andhra Pradesh,CHELVELLA,SUTHARAPU PADMAIAH,Andhra Pradesh Rashtra Samaikya Samithi Party,"  2,214 "
Andhra Pradesh,CHELVELLA,SANIKE RAM GOPAL YADAV,Independent,"  2,058 "
Andhra Pradesh,CHELVELLA,DR.GOLLA RAMAIAH,Telangana Loksatta Party,"  1,765 "
Andhra Pradesh,CHELVELLA,SYED HASHMATHULLAH QUADRI,Indian Union Muslim League,"  1,411 "
Andhra Pradesh,CHELVELLA,None of the Above,None of the Above,"  10,018 "
Andhra Pradesh,Chittoor,NARAMALLI SIVAPRASAD,Telugu Desam,"  594,862 "
Andhra Pradesh,Chittoor,G.SAMANYAKIRAN,Yuvajana Sramika Rythu Congress Party,"  550,724 "
Andhra Pradesh,Chittoor,DR.B.RAJAGOPAL,Indian National Congress,"  16,572 "
Andhra Pradesh,Chittoor,JITHENDRA KUMAR.DHANDU,Bahujan Samaj Party,"  15,897 "
Andhra Pradesh,Chittoor,P. PUSHPA RAJ,Jai Samaikyandhra Party,"  5,740 "
Andhra Pradesh,Chittoor,S. ANJAPPA,Independent,"  4,321 "
Andhra Pradesh,Chittoor,UDAYA C.S,Pyramid Party of India,"  3,803 "
Andhra Pradesh,Chittoor,None of the Above,None of the Above,"  6,996 "
Andhra Pradesh,Eluru,MAGANTI VENKATESWARA RAO (BABU),Telugu Desam,"  623,471 "
Andhra Pradesh,Eluru,THOTA CHANDRA SEKHAR,Yuvajana Sramika Rythu Congress Party,"  521,545 "
Andhra Pradesh,Eluru,MUSUNURI NAGESWARA RAO,Indian National Congress,"  11,770 "
Andhra Pradesh,Eluru,NETALA RAMESH BABU,Bahujan Samaj Party,"  11,670 "
Andhra Pradesh,Eluru,GOVADA VIJAYA KUMARI,Prem Janata Dal,"  4,483 "
Andhra Pradesh,Eluru,U VENKATESWARARAO (U.V),Independent,"  3,971 "
Andhra Pradesh,Eluru,MENDEM SANTOSH KUMAR ( PEDABABULU),Indian Labour Party (Ambedkar Phule),"  3,423 "
Andhra Pradesh,Eluru,K.V.V.SATYANARAYANA,Jai Samaikyandhra Party,"  2,873 "
Andhra Pradesh,Eluru,C.V.SARADA DEVI,Independent,"  2,720 "
Andhra Pradesh,Eluru,SAVANAPUDI NAGARAJU,Marxist Communist Party of India (United),"  2,318 "
Andhra Pradesh,Eluru,U .V. RAMA RAO,Pyramid Party of India,"  1,323 "
Andhra Pradesh,Eluru,K.VIJAYA LAKSHMI PANDIT,Independent,"  1,320 "
Andhra Pradesh,Eluru,GANGADHARA RAO NANNAPANENI,Independent,"  1,302 "
Andhra Pradesh,Eluru,ASHOK YANTRAPATI,Mahajana Socialist Party,"  1,212 "
Andhra Pradesh,Eluru,JULURI BHASKARA VEERA VENKATA ANIL KUMAR GUPTA,Independent,  751 
Andhra Pradesh,Eluru,None of the Above,None of the Above,"  7,544 "
Andhra Pradesh,Guntur,JAYADEV GALLA,Telugu Desam,"  618,417 "
Andhra Pradesh,Guntur,BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,"  549,306 "
Andhra Pradesh,Guntur,ABDUL WAHEED SHAIK,Indian National Congress,"  46,818 "
Andhra Pradesh,Guntur,MALLELA VENKATA RAO,Jai Samaikyandhra Party,"  5,608 "
Andhra Pradesh,Guntur,MALLELA BABU RAO,Bahujan Samaj Party,"  4,223 "
Andhra Pradesh,Guntur,UDAIA KUMAR MUSUKU,Indian Christian Secular Party,"  2,852 "
Andhra Pradesh,Guntur,DR. KOUTHARAPU RAVINDRA,Great India Party,"  2,594 "
Andhra Pradesh,Guntur,KATA VEERA VARA PRASAD,Aam Aadmi Party,"  2,344 "
Andhra Pradesh,Guntur,ABBURI KOTESWARA RAO,Pyramid Party of India,"  1,636 "
Andhra Pradesh,Guntur,EMANI CHANDRA SEKHAR RAO,Navodyam Party,"  1,455 "
Andhra Pradesh,Guntur,BITRA VENKATA SIVANNARAYANA,Independent,"  1,169 "
Andhra Pradesh,Guntur,ARUDALA VENKATESWARA RAO,Independent,  908 
Andhra Pradesh,Guntur,None of the Above,None of the Above,"  7,596 "
Andhra Pradesh,Hindupur,KRISTAPPA NIMMALA,Telugu Desam,"  604,291 "
Andhra Pradesh,Hindupur,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,"  506,966 "
Andhra Pradesh,Hindupur,G.C VENKATARAMUDU,Indian National Congress,"  36,452 "
Andhra Pradesh,Hindupur,K.MOHAMMAD SHAMEER BASHA,Jai Samaikyandhra Party,"  4,590 "
Andhra Pradesh,Hindupur,AMUDALA SUBRAMANYAM,Rayalaseema Parirakshana Samithi,"  4,521 "
Andhra Pradesh,Hindupur,ANAND,Pyramid Party of India,"  3,101 "
Andhra Pradesh,Hindupur,MADDIPATLA SUDHAKAR NAIDU,Independent,"  2,332 "
Andhra Pradesh,Hindupur,D. SOMANATH,Independent,"  2,032 "
Andhra Pradesh,Hindupur,CHINTA SARATH KUMAR REDDY,Independent,"  1,275 "
Andhra Pradesh,Hindupur,APPIREDDYGARI KONDA REDDY,Independent,"  1,257 "
Andhra Pradesh,Hindupur,K.PEDDA REDDI,Independent,"  1,152 "
Andhra Pradesh,Hindupur,ASADULLAH K.M,Independent,"  1,099 "
Andhra Pradesh,Hindupur,None of the Above,None of the Above,"  8,189 "
Andhra Pradesh,Hyderabad,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,"  513,868 "
Andhra Pradesh,Hyderabad,DR.BHAGAVANTH RAO,Bharatiya Janata Party,"  311,414 "
Andhra Pradesh,Hyderabad,S KRISHNA REDDY,Indian National Congress,"  49,310 "
Andhra Pradesh,Hyderabad,RASHID SHAREEF,Telangana Rashtra Samithi,"  37,195 "
Andhra Pradesh,Hyderabad,BINGHI RAJASHEKAR,Pyramid Party of India,"  21,796 "
Andhra Pradesh,Hyderabad,BODDU SAINATH REDDY,Yuvajana Sramika Rythu Congress Party,"  10,743 "
Andhra Pradesh,Hyderabad,LUBNA SARWATH,Aam Aadmi Party,"  6,118 "
Andhra Pradesh,Hyderabad,M A HABEEB,Independent,"  5,992 "
Andhra Pradesh,Hyderabad,VENU GOPAL.P,Bahujan Samaj Party,"  3,100 "
Andhra Pradesh,Hyderabad,SYED MUSTAFA MAHMOOD,Majlis Bachao Tahreek,"  2,102 "
Andhra Pradesh,Hyderabad,S.KHAJA MOINUDDIN,All India Azaad Congress Party,"  1,593 "
Andhra Pradesh,Hyderabad,SYED ABDUL GAFFER,Independent,  740 
Andhra Pradesh,Hyderabad,MD OSMAN,Independent,  728 
Andhra Pradesh,Hyderabad,SHAIK MOIN,Independent,  626 
Andhra Pradesh,Hyderabad,JAYA VINDHYALA,Socialist Party (India),  598 
Andhra Pradesh,Hyderabad,N.MAHENDER SINGH,Nava Bharat National Party,  485 
Andhra Pradesh,Hyderabad,None of the Above,None of the Above,"  5,013 "
Andhra Pradesh,Kadapa,Y.S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,"  671,983 "
Andhra Pradesh,Kadapa,SRINIVASA REDDY REDDEPPAGARI,Telugu Desam,"  481,660 "
Andhra Pradesh,Kadapa,AJAYA KUMAR VEENA,Indian National Congress,"  14,319 "
Andhra Pradesh,Kadapa,MALIKIREDDY. HANUMANTHA REDDY,Bahujan Samaj Party,"  5,515 "
Andhra Pradesh,Kadapa,YELLIPALEM RAMESH.REDDY,Janata Dal (United),"  3,809 "
Andhra Pradesh,Kadapa,SAJID HUSSAIN,Aam Aadmi Party,"  3,401 "
Andhra Pradesh,Kadapa,DR. SHAIK GHOUSE PEER,Jai Samaikyandhra Party,"  3,219 "
Andhra Pradesh,Kadapa,B. PULLAIAH,Ambedkar National Congress,"  2,565 "
Andhra Pradesh,Kadapa,VARADI SOBHARANI,Dalita Bahujana Party,"  2,240 "
Andhra Pradesh,Kadapa,GAJJALA.RAMA SUBBA REDDY,Pyramid Party of India,"  1,821 "
Andhra Pradesh,Kadapa,POREDDY PRABHAKARA REDDY,Independent,"  1,217 "
Andhra Pradesh,Kadapa,RACHINENI. VENUGOPAL,Rashtriya Praja Congress (Secular),"  1,034 "
Andhra Pradesh,Kadapa,PUTHA. LAKSHMI REDDY,All India Forward Bloc,  933 
Andhra Pradesh,Kadapa,G.V.A.K. REDDY,Janata Dal (Secular),  888 
Andhra Pradesh,Kadapa,None of the Above,None of the Above,"  6,058 "
Andhra Pradesh,Kakinada,THOTA NARASIMHAM,Telugu Desam,"  514,402 "
Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,"  510,971 "
Andhra Pradesh,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,"  19,754 "
Andhra Pradesh,Kakinada,MOTHA SARADA,Republican Party of India (Khobragade),"  6,836 "
Andhra Pradesh,Kakinada,JALLURI VENKATESWARLU (J.V),Independent,"  6,636 "
Andhra Pradesh,Kakinada,TUMMALAPALLI SATYA RAMAKRISHNA,Jai Samaikyandhra Party,"  6,442 "
Andhra Pradesh,Kakinada,TEKUMUDI VENKATA RAO,Pyramid Party of India,"  3,826 "
Andhra Pradesh,Kakinada,DONKA LEELAVATHI,Independent,"  3,756 "
Andhra Pradesh,Kakinada,KOLA VENKATA PRASAD VARMA,Rashtriya Janata Dal,"  3,473 "
Andhra Pradesh,Kakinada,MUTHABATHULA RATNA KUMAR,Bahujan Samaj Party,"  2,511 "
Andhra Pradesh,Kakinada,SRINIVAS DANGETI,Aam Aadmi Party,"  2,356 "
Andhra Pradesh,Kakinada,KARRA VENKATA APPALA NARASIMHA RAO,Independent,"  1,907 "
Andhra Pradesh,Kakinada,ROKKAM DAYAKAR,Republican Paksha (Khoripa),"  1,837 "
Andhra Pradesh,Kakinada,DONAM NEELAKANTAM,Independent,"  1,697 "
Andhra Pradesh,Kakinada,ARJUNARAO YEGUPATI,Communist Party of India (Marxist-Leninist) (Liberation),"  1,495 "
Andhra Pradesh,Kakinada,GUTTULA ANNAPURNA SESHAGIRI RAO (BATHPARTY-SESHU),Independent,"  1,417 "
Andhra Pradesh,Kakinada,VINJAMALLA CHITTI BABU,Independent,"  1,400 "
Andhra Pradesh,Kakinada,CHAGANTI SURYANARAYANA MURTY,Independent,"  1,236 "
Andhra Pradesh,Kakinada,PEPAKAYALA SUBHA RAJENDRA,Independent,"  1,161 "
Andhra Pradesh,Kakinada,KUNCHE RAMADAS,Independent,"  1,122 "
Andhra Pradesh,Kakinada,MERLA BHAVANI SANKARA PRASAD,Independent,  910 
Andhra Pradesh,Kakinada,PRABHAKARA RAO MADIKI,Independent,  496 
Andhra Pradesh,Kakinada,None of the Above,None of the Above,"  4,358 "
Andhra Pradesh,Karimnagar,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi,"  505,783 "
Andhra Pradesh,Karimnagar,PONNAM PRABHAKAR,Indian National Congress,"  300,706 "
Andhra Pradesh,Karimnagar,CHENNAMANENI VIDYA SAGAR RAO,Bharatiya Janata Party,"  214,828 "
Andhra Pradesh,Karimnagar,SHAIK MAHMOOD,Welfare Party Of India,"  39,325 "
Andhra Pradesh,Karimnagar,B. LAXMAN,Bahujan Samaj Party,"  11,333 "
Andhra Pradesh,Karimnagar,REDDI MALLA SRINIVAS,Republican Party of India (A),"  8,040 "
Andhra Pradesh,Karimnagar,MOHAMMED AMJAD MOHIUDDIN,Independent,"  6,720 "
Andhra Pradesh,Karimnagar,BURLA. RAVI,Nationalist Congress Party,"  4,769 "
Andhra Pradesh,Karimnagar,KANDEM PRABHAKAR,Independent,"  4,731 "
Andhra Pradesh,Karimnagar,L. PRABHAKAR REDDY,Pyramid Party of India,"  3,944 "
Andhra Pradesh,Karimnagar,SRINIVAS REDDY LINGAMPALLY,Independent,"  3,865 "
Andhra Pradesh,Karimnagar,DR.DHARMAIAH VENDAVETLA,Bahujan Mukti Party,"  3,773 "
Andhra Pradesh,Karimnagar,MEESALA RAJI REDDY,Yuvajana Sramika Rythu Congress Party,"  3,080 "
Andhra Pradesh,Karimnagar,MALLESH YADAV BARLA,Independent,"  2,760 "
Andhra Pradesh,Karimnagar,UPPULETI.LAXMAN,Independent,"  2,448 "
Andhra Pradesh,Karimnagar,RANAVENI LAKSHMAN,New India Party,"  2,062 "
Andhra Pradesh,Karimnagar,PULIKOTA RAMESH,Independent,"  1,777 "
Andhra Pradesh,Karimnagar,None of the Above,None of the Above,"  5,747 "
Andhra Pradesh,Khammam,PONGULETI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,"  421,957 "
Andhra Pradesh,Khammam,NAMA NAGESWARA RAO,Telugu Desam,"  409,983 "
Andhra Pradesh,Khammam,KANKANALA NARAYANA,Communist Party of India,"  187,653 "
Andhra Pradesh,Khammam,BUDAN BAIG SHAIK,Telangana Rashtra Samithi,"  89,063 "
Andhra Pradesh,Khammam,LINGALA RAVI KUMAR,Independent,"  9,454 "
Andhra Pradesh,Khammam,GOKINEPALLI VENKATESWARA RAO,Independent,"  8,053 "
Andhra Pradesh,Khammam,BACHALA LAXMAIAH,Independent,"  6,494 "
Andhra Pradesh,Khammam,MOKALLA RAMESH,Independent,"  5,386 "
Andhra Pradesh,Khammam,KAKI BHASKAR,Independent,"  5,354 "
Andhra Pradesh,Khammam,NAGARJUNA CHERUKURU,Jai Samaikyandhra Party,"  4,999 "
Andhra Pradesh,Khammam,DODDA RAM BABU,Bahujan Samaj Party,"  4,757 "
Andhra Pradesh,Khammam,NAGIREDDY RAJI REDDY,Independent,"  4,480 "
Andhra Pradesh,Khammam,MEDARAMETLA RAMA RAO,Pyramid Party of India,"  4,135 "
Andhra Pradesh,Khammam,BANOTH KISHAN NAYAK,Independent,"  1,611 "
Andhra Pradesh,Khammam,GUGULOTHU SARVAN,Independent,"  1,488 "
Andhra Pradesh,Khammam,GUGULOTHU RANJITH KUMAR,Independent,"  1,432 "
Andhra Pradesh,Khammam,BANOTH LAXMA NAIK,Independent,"  1,338 "
Andhra Pradesh,Khammam,RAMESH KOMMU,Independent,"  1,267 "
Andhra Pradesh,Khammam,MUDIGE NAGESWARA RAO,Independent,"  1,194 "
Andhra Pradesh,Khammam,JERRIPOTHULA SRINIVAS,Independent,"  1,116 "
Andhra Pradesh,Khammam,KALTHI VENKATESWARLU,Independent,"  1,059 "
Andhra Pradesh,Khammam,RAMU KANDULA,Independent,"  1,019 "
Andhra Pradesh,Khammam,KALTHI RAMULAMMA,Independent,  980 
Andhra Pradesh,Khammam,BUSIREDDY SHANKAR REDDY,Independent,  963 
Andhra Pradesh,Khammam,KANAKAM TIRUMALA RAO,Independent,  916 
Andhra Pradesh,Khammam,SANAPA POMMAIAH,Independent,  886 
Andhra Pradesh,Khammam,MARIKANTI VASUDASU,Independent,  877 
Andhra Pradesh,Khammam,None of the Above,None of the Above,"  4,983 "
Andhra Pradesh,Kurnool,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party,"  472,782 "
Andhra Pradesh,Kurnool,B.T. NAIDU,Telugu Desam,"  428,651 "
Andhra Pradesh,Kurnool,KOTLA JAYASURYAPRAKASH REDDY,Indian National Congress,"  116,603 "
Andhra Pradesh,Kurnool,NOOR AHMED MADANI,Socialistic Democratic Party,"  11,393 "
Andhra Pradesh,Kurnool,VISSA KIRAN KUMAR,Aam Aadmi Party,"  6,522 "
Andhra Pradesh,Kurnool,R.J.MALLIKAL,Bahujan Samaj Party,"  5,746 "
Andhra Pradesh,Kurnool,G.JAKEER HUSSAIN,Jai Samaikyandhra Party,"  3,600 "
Andhra Pradesh,Kurnool,D YUGANDHAR,Independent,"  2,820 "
Andhra Pradesh,Kurnool,D CHAND BASHA,Independent,"  2,605 "
Andhra Pradesh,Kurnool,KOTHURU.SATYANARAYANA GUPTA,Independent,"  2,021 "
Andhra Pradesh,Kurnool,NAGELLA ELIA,Welfare Party Of India,"  1,990 "
Andhra Pradesh,Kurnool,KONDIPARTHI .VENKAT PRASAD,Republican Party of India,"  1,614 "
Andhra Pradesh,Kurnool,None of the Above,None of the Above,"  9,385 "
Andhra Pradesh,Machilipatnam,KONAKALLA NARAYANA RAO,Telugu Desam,"  587,280 "
Andhra Pradesh,Machilipatnam,KOLUSU PARTHA SARATHY,Yuvajana Sramika Rythu Congress Party,"  506,223 "
Andhra Pradesh,Machilipatnam,SISTLA RAMESH,Indian National Congress,"  14,111 "
Andhra Pradesh,Machilipatnam,KAMMILI SRINIVAS,Jai Samaikyandhra Party,"  7,692 "
Andhra Pradesh,Machilipatnam,VADAPALLI RAGHUNADH,Pyramid Party of India,"  4,401 "
